"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33","2.56","6.2992059697","6.3006811535","5.4926329155","5.5779969427","5.4924335664","5.2384833385","5.2382839893","6.1415207898","6.5970872449","5.5902048054","3.8207521298","4.7620859131","4.7620859131","5.3165155254","",
"Australia","AUS","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.58","28.02","27.8544077041","29.0928991762","30.7668807702","31.1689903007","30.8015107756","32.8886920021","31.0905407256","31.0239177053","34.1506133187","32.5461900488","33.5260933766","33.0161615665","34.108099923","34.3460110811","",
"Austria","AUT","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.16","74.17","76.2305210551","78.4772802528","78.0568223542","84.5902946948","83.8653160249","84.0055554441","81.8471166184","79.0371482968","78.7500472857","85.8138509237","85.344918092","87.9345052714","87.512069926","88.3543702125","",
"Benin","BEN","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.13","10.23","11.1355019597","11.426619618","12.0243567638","12.5435781488","13.5155855355","13.4650024863","16.2359654589","14.4455590981","15.9890821747","16.5132394572","16.3270595565","17.0451198513","17.5828281282","17.4618260489","",
"Burkina Faso","BFA","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","5.07","8.414200214","9.8319134039","7.5738169782","8.0572502825","7.3095315859","7.9987081793","8.427848433","7.883064132","9.7503590626","10.9779134209","11.9304007349","12.2757476749","12.5058077927","13.2588840575","",
"Bulgaria","BGR","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.17","5.61","8.3029443171","7.9306606537","7.4528248571","5.8084052372","5.81769033","6.3162365122","6.7516410892","6.3998209686","6.0844696974","9.232883294","7.3420419931","6.7489512216","7.1338826672","7.2486620211","",
"Bahrain","BHR","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.39","4.34","8.3995134308","7.8540734515","8.2137818297","6.603552124","17.6539291066","17.2281076794","17.3989282866","21.6471506546","24.0871366495","19.0393406398","20.0122301067","28.5020160721","30.3197385872","25.7139212062","",
"Bahamas, The","BHS","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.49","15.7","18.1141436645","19.4026158834","19.4474224902","18.0457047364","24.0794485412","25.4821767343","24.9927874561","25.5138781265","25.5979383853","25.4065767151","26.4625092369","27.9171332306","28.089516732","31.3590451369","",
"Bosnia and Herzegovina","BIH","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.19","2.59","3.3272845457","3.2253177581","4.975005001","4.6077055579","4.4670007989","3.4230181064","8.1894874704","8.4309338604","8.5989358057","8.5731589675","9.0699384445","9.3770862627","8.8404618757","11.4913319779","",
"Bermuda","BMU","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.54","1.57","1.7038858253","1.7038858253","1.6891852749","1.6891852749","1.6891852749","1.6891852749","1.6891852749","1.6891852749","1.6800968284","1.6800968284","1.6800968284","1.6800968284","1.6800968284","1.6800968284","",
"Bolivia","BOL","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.83","31.49","36.1017178588","36.0341479197","36.198048408","35.0385787843","33.6706433488","33.6946042673","34.3483998911","34.3334131112","36.492714379","37.4882102113","36.6777325014","34.173319549","35.5239460032","34.1554600453","",
"Barbados","BRB","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.47","5.77","7.7962530705","7.8685322871","8.8348347273","8.167439854","11.8817407919","9.697172716","7.519917814","7.449023198","7.7709886574","7.7146747507","8.4560691829","9.0875904459","8.5553521962","7.4383075949","",
"Brunei Darussalam","BRN","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.91","3.46","4.0824132946","3.5403321927","3.8138178055","3.6944623398","5.1227658091","5.5162680207","4.9795059181","5.3481277477","5.347891283","4.9039065252","8.6126210541","6.1587664784","5.3720046869","7.6761561313","",
"Bhutan","BTN","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.67","39.81","33.92034566","34.5010181794","39.4736312476","39.2727317746","36.3798715738","40.8303301273","37.9076294028","38.4589455107","44.1219015602","39.0893676268","40.3036979078","43.9931074819","47.2305441222","42.7897063079","",
"Central Europe and the Baltics","CEB","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.48","15.53","17.9973088407","18.947556966","18.1570203141","21.1832548568","23.3983270344","24.353222786","29.675137412","30.1612393961","29.7960758356","29.6493963184","30.6600475027","35.1876007749","37.8332833821","35.6756334453","",
"China","CHN","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","108.29","100","110.7831619683","123.1291941363","116.7860078019","121.232224943","133.0239392462","131.3725575044","129.2601986026","134.7974218571","138.8820422935","141.5809786806","140.0780807141","151.2986864839","151.9093543201","",
"Cote d'Ivoire","CIV","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.39","14.52","18.1366954007","16.4408188843","19.745521708","21.0428135406","21.2541366394","20.4510496646","18.2501535612","22.0136490692","22.8703433338","22.9526875638","20.3582222659","18.8273163851","17.28667947","18.8119619969","",
"Cameroon","CMR","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.46","10.62","16.2942276959","16.2498350555","15.327281203","16.8853084779","16.3682479757","16.2662481972","15.7953072628","17.2054251163","16.1865153456","14.0923491106","17.0559972155","17.0910342102","24.4159688231","16.2969015686","",
"Congo, Dem. Rep.","COD","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.05","3.03","4.9709324897","4.0712226355","4.7630597226","5.2255916477","6.8708660865","6.7962987455","8.9513311929","9.6199088993","9.2527151908","5.8202990897","6.5931591428","6.144558986","6.4148358919","5.50664982","",
"Congo, Rep.","COG","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.29","9.1","12.5953135058","13.0047311601","14.8447541385","14.7873775705","12.5410751109","15.0656870954","15.2584804856","18.6618384584","19.8725833949","20.9362258109","25.8074397225","24.2267149642","24.1208891613","25.5642023608","",
"Colombia","COL","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.61","19.2","27.4070005299","24.3512074357","25.6780389691","29.3438611232","29.1654773324","34.3821105039","32.5708296896","34.5149271198","39.3622820247","42.8586596721","49.5979265441","46.5679566087","48.4863101717","45.414703177","",
"Comoros","COM","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.07","5.84","3.9587080266","5.0204746027","1.5885969827","4.4085078659","5.3323083827","7.0071290258","7.1300686611","6.5696035748","6.6201387006","6.9575636129","6.8289575005","5.7885337424","5.916751765","6.7183442123","",
"Cabo Verde","CPV","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9","2.28","4.339048657","4.362617866","6.9066108325","7.2225799219","5.8669806052","6.2861388226","6.1253200186","4.7514939214","4.8761115257","4.6398268309","4.9367739133","5.1646366954","7.1049113884","6.4884256168","",
"Costa Rica","CRI","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.59","11.12","16.068266788","17.17168394","17.223037246","18.5849663612","18.8319832623","17.5384525901","18.4816720585","18.5328266037","18.958148367","17.8127701797","17.4908863185","17.3405802094","18.0375694976","18.4936080782","",
"Caribbean small states","CSS","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.78","6.51","7.7847644504","8.0723188667","7.7495967545","8.0838595394","7.5519434095","7.99936303","10.6455293485","9.9069553405","10.4132258943","8.6881627717","11.3958907596","10.2557611266","8.48830986","9.6056487978","",
"Curacao","CUW","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.14","6.59","8.14","8","6.19","9.27","8.22","8.42","","",
"Cayman Islands","CYM","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9","2.23","2.3130544903","2.4045847659","1.3440024769","2.1184780746","2.1184780746","1.3440024769","2.0451548562","2.0451548562","2.0451548562","1.6406160751","1.6574097917","1.6574097917","1.5100851683","1.9149030383","",
"Cyprus","CYP","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.39","18.53","16.4842778464","17.101019794","14.1699493328","13.4835970721","15.6989415881","16.5557518004","17.2468031134","16.0370207343","16.2822849371","17.3833606792","19.9932885351","13.7636361165","18.1359560568","18.6371958233","",
"Czech Republic","CZE","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.59","78.41","77.1352054744","82.4305534321","89.2499660732","83.464641628","82.5843762792","82.0137206339","81.9519834603","79.7771156635","84.2016438638","86.8708030685","88.0119422803","83.5498086001","87.4105271977","82.8282949779","",
"Djibouti","DJI","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.76","7.59","11.5451367248","16.3493505643","13.1530282642","21.9373540812","18.4536574593","17.4301633483","14.8025168934","19.7752903786","21.0549751139","24.039226125","31.6188434509","28.4602815158","34.5294581819","31.4113861571","",
"Dominica","DMA","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33","2.51","4.7350650119","4.7334303487","3.9388365941","4.3104157191","3.9181933094","4.3472162334","4.3170841214","5.2776809507","4.8148419678","5.1783476268","5.888980416","5.1899112762","7.5146326917","6.2095566339","",
"Denmark","DNK","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.56","24.25","25.1830784976","25.4326281537","25.4367785621","26.2837191197","26.5093789439","37.5027547442","38.4443429311","38.6925607167","44.5191653135","45.7723193351","42.9453600191","45.6502724925","48.3465295366","49.5727090227","",
"Dominican Republic","DOM","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.45","13.95","21.8570789956","24.4997768857","25.2907753415","24.5189067739","25.3167959306","25.7982940226","26.5215435983","28.5338113616","27.7328844507","27.4477005103","30.4919602642","36.3784530265","39.5715360059","38.7794254288","",
"Algeria","DZA","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","9.72","10.6101264267","9.5236961812","10.5918376346","11.050678912","11.7675822918","12.1008091898","10.6465376555","11.2886374521","11.0096819444","13.0775258221","14.6898548843","12.0786935652","13.3749145184","12.8111044479","",
"East Asia & Pacific (excluding high income)","EAP","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.84","12.92","15.2229796088","16.197807963","15.8217465154","19.0146702863","21.8207303818","27.8133391992","20.0159543924","23.3591597507","21.5675537282","21.8100805947","31.658562834","31.0583441479","25.5640512625","33.1001263319","",
"Egypt, Arab Rep.","EGY","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.86","49.23","46.5971473415","44.5769233166","46.5285590093","45.7337667766","46.0696417008","47.5014089824","52.2656555189","53.9839984516","57.2369012853","59.0264217965","58.5445765056","54.041758442","62.3809381662","66.7210070203","",
"Euro area","EMU","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.36","1.58","4.2782113095","3.8029804874","3.0001673887","3.4898305601","","","4.0552913501","","","2.8257238999","2.8257238999","2.8257238999","4.8684768166","4.5932951822","",
"Spain","ESP","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.44","58.16","70.2767930105","75.3735390271","81.5190760464","75.5496776364","77.7088591545","75.3623006319","76.3392704089","75.6203941754","83.3795224774","82.1114832405","88.1236900746","85.8415518237","86.4022841009","84.2135573705","",
"Estonia","EST","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.05","6.52","6.356464127","6.1834728872","5.946022785","8.457004265","8.129426832","6.2646029357","8.1254227918","8.0606582723","11.2257295989","8.471326806","8.2211492308","8.4899260609","8.2510458398","10.9394628185","",
"Ethiopia","ETH","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.45","10.16","12.3784418668","13.2395348419","12.9735441779","13.4099465984","13.9039273741","13.5657003305","15.4067380059","15.0694619005","15.947808653","16.235906814","15.9637040524","14.4281540562","15.1613680192","16.7386098647","",
"Fiji","FJI","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.26","8.32","10.7737927174","12.4492072236","13.5227641523","13.528630014","12.7940228164","13.600745661","12.1645153626","14.3624005436","14.4689013827","12.7416587552","12.4719628109","13.2730172756","13.3333052669","11.1998092508","",
"France","FRA","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.34","70","58.2528243166","60.402742195","60.7273298297","58.9794290291","58.8890653088","64.8521822583","63.743957936","66.2581928933","68.0360932693","68.7319717224","74.2126740325","71.3865449897","75.9524241967","72.5536341224","",
"Faroe Islands","FRO","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.22","4.4","4.4276107637","4.5774019203","4.6728793093","4.7829366606","4.6728793093","4.7689348109","4.7681374142","4.5236662653","4.7690344854","4.6167713993","4.6177183078","4.7146708806","4.7211895982","3.1936240862","",
"Micronesia, Fed. Sts.","FSM","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","2.87","1.6745729422","3.6962429357","4.5042311643","4.1985724183","2.0443579247","1.9373885579","2.8968756261","2.4283220903","2.4283220903","2.4987035534","2.4987035534","2.6968909559","4.5254803283","4.4708348747","",
